Parameter,Definition,Extened Definition
Jurisdiction,"The Jurisdiction in the Emirate of Abu Dhabi are as follows:
Mainland:
1. Ain Al Faydah
2. Al Dhahir
3. Al Falah
4. Al Khibeesi
5. Al Rawdah Al Sharqiyah
6. Al Shamkhah
7. Bani Yas
8. Madinat Al Riyad
9. Mayzad
10. Mbazzarah Al Khadra
11. Mohamed Bin Zayed City
12. Shakhbout City
13. Shi'bat Al Wutah
14. Abu Dhabi Island

Freezone:
1. Abu Dhabi Global Market (ADGM)
2. Khalifa Economic Zones Abu Dhabi (KEZAD)
3. Masdar City Free Zone
4. Twofour54
5. Industrial City of Abu Dhabi (ICAD)
6. Higher Corporation for Specialized Economic Zones (ZonesCorp)
7. Abu Dhabi Airport Free Zone (ADAFZ)

Island:
1. Al Khalidiyah
2. Al Manhal
3. Hadbat Al Za'faranah

Sample prompt: If the policy states that its jurisdiction authority is strictly for ""mainland"" or one of the listed mainland areas as per the attached (above) then classify it as mainland.  If the policy states that its jurisdiction authority is strictly for ""freezone"" or one of the listed freezones areas as per the attached (above) then classify it as freezone.  If the policy states that its jurisdiction authority is strictly for ""island"" or one of the listed island areas as per the attached (above) then classify it as island. If the policy states that its jurisdiction authority is for the Emirate of Abu Dhabi then classify it as ""All"". If the policy doesn't state any of the previous then classify it as ""All"".",
Sector,"The sector this policy affects
This must be tagged to one of the following options:
1. Multi-sector (if it affects more than one sector)
2. Mining and Quarrying
3. Wholesale and Retail Trade
4. Manufacturing
5. Financial and Insurance Services 
6. Construction
7. Real Estate Activities
8. Public Administration and Defense
9. Transportation and Storage
10. Professional, Scientific and Technical Activities and Administrative and Support Services
11. Information and Communication
12. Electricity, gas, and Water Supply; Waste Management Activities
13. Accommodation and Food Service Activities
14. Education
15. Human Health and Social work Activities
16. Agriculture, Forestry and Fishing
17. Activities of Households as Employers
18. Arts, Recreation and Other Service Activities
",
Metrics (KPIs in policies),"We only want the KPIs/metrics that have been explicitly mentioned in the document and do not want the agent to ideate relevant KPIs.

Sample prompt:
Please go through the relevant policy document in entirety and identify any performance indicators explicitly stated in the document. The relevant trigger phrases could be ""key performance indicators"", ""KPIs"", ""performance metrics"", ""success measures"", ""performance targets"", ""impact metrics"", others.",
Policy owner,"We want the policy owners to be identified as per the pre-identified list of stakeholders on the ""Policy owners"" sheet.
Abu Dhabi Department of Economic Development (ADDED/DED)
Abu Dhabi Investment Office (ADIO)
Department of Municipalities and Transport (DMT)
Abu Dhabi National Oil Company (ADNOC)
Abu Dhabi Pension Fund (ADPF)
Abu Dhabi Department of Health (AD DoH)
Abu Dhabi Executive Office (ADEO)/ Executive Council
Supreme Council for Financial and Economic Affairs (SCFEA)
Abu Dhabi Accountability Authority (ADAA)
Abu Dhabi Centre for Projects and Infrastructure (ADPIC)
Creative Media Authority
Abu Dhabi Developmental Holding Company (ADQ)
Abu Dhabi Judicial Department
Abu Dhabi Media Office
Abu Dhabi Sports Council
Department of Government Support
Al Ain Farms for Livestock Production
Abu Dhabi Securities Exchange Company (PJSC)
Abu Dhabi Human Resources Authority
Advanced Technology Research Council (ATRC)
Abu Dhabi Ports Company (AD Ports)
Abu Dhabi Department of Education and Knowledge (ADEK)
Abu Dhabi Department of Energy (AD DoE)
Endowments and Minors' Funds Management Authority
Mubadala
Musanada
Abu Dhabi Global Market (ADGM)
Abu Dhabi Police (AD Police) / Abu Dhabi Police General Headquarters
Environment Agency Abu Dhabi (EAD)
Sorbonne University Abu Dhabi
Emirates College for Advanced Education
Khalifa University for Science and Technology
Abu Dhabi Department of Finance (AD DoF)
International Fund for Houbara Conservation
Ruler’s Representative Court - Al-Dhafra Region
Rabdan Academy
Dar Zayed For Family Care
Mohammed V University – Abu Dhabi
Abu Dhabi Center for Arabic Language
Abu Dhabi Department of Community Development (DCD)
Emirates Nuclear Energy Corporation
Abu Dhabi Housing Authority
Zayed Higher Organization for People of Determination
Zayed bin Sultan Al Nahyan Charitable & Humanitarian Foundation
Khalifa Fund for Enterprise Development (KFED)
National Rehabilitation Centre - Abu Dhabi
Abu Dhabi Digital Authority
Abu Dhabi Centre for Sheltering & Humanitarian Care (EWAA)
Abu Dhabi Civil Defense Authority
Integrated Transport Centre (ITC)
Abu Dhabi Equestrian Club
Mohamed bin Zayed University for Humanities
Mohamed bin Zayed University of Artificial Intelligence
Al Ain City Municipality
Crown Prince Court
Abu Dhabi Centre for Legal and Community Awareness
Qasr Al Emarat Company - Abu Dhabi
Abu Dhabi Early Childhood Authority
Department of Government Enablement
Mohamed bin Zayed University for Humanities
Abu Dhabi Fund for Development
Department of Government Support
Abu Dhabi Public Health Centre
Al Ain Company
Statistics Centre Abu Dhabi
Etihad Airways Group
Modon Properties Company
Emirates Foundation
Abu Dhabi Chamber of Commerce and Industry (ADCCI)
AD Customs
Zoo & Aquarium Public Institution in Al Ain
Family Care Authority
Department of Culture and Tourism (DCT)
Sample prompt:
Please go through the relevant policy document in entirety and identify the respective policy owner from the pre-defined list of policy owners and assign the respective policy owner code. In case you cannot find the policy owner in the list, please categorize the policy owner as ""Others"".",
Stakeholders involved,Government entities that play a role in developing the policy but do not have primary ownership or responsibility (any other entities referenced in the policy),
Thematic categorization,Non-oil GDP growth,"Policies aimed at diversifying the economy by boosting non-oil sectors such as manufacturing, tourism, trade, and services, ensuring sustainable economic expansion."
Thematic categorization,Priority clusters growth,"Focused support for key strategic industries as identified in the FALCON strategy as mentioned below:
1. Resources 
a) Energy Transition: Clean energy & storage 
b) Metals & Critical Minerals: Steel, Aluminum, new metals and critical minerals
c) Chemicals: Olefins, Polyolefins, intermediate and downstream chemicals, inorganic and specialty chemicals

2. Value added services
a) Financial Services: sustainable finance & SME growth, integrated financial services & insurance, wealth innovation & digital capital markets
b) Trade & Logistics: multimodal logistics hub, e-commerce & digital infrastructure, specialized supply service

3. Technology
a) Digital & Technology: AI-powered Cloud & new-Gen Edge, generative AI & low code/no code solutions, virtual cloud & AI-powered RPA as a service
b) Semi-conductors: advanced materials & manufacturing, power & analog electronics, logic fabrication & design prototyping
c) Advanced Services & Industries: aeronautics, defense, space
d) SAVI: land, air, sea

4. Livability
a) Biotech & Life Sciences: pharma & biotech, med-tech, digital health
b) Agrifood Growth & Water Abundance: sustainable food systems & innovation, agriculture & supply chain excellence, water technologies & infrastructure
c) Travel & Tourism: medical & wellness tourism, nature tourism & adventure activities, luxury hospitality
d Media, Entertainment, Gaming, and Sports: gaming hub, video & music production hub, sports & entertainment hub
"
Thematic categorization,Digital economy expansion,"Development of digital infrastructure, e-commerce, fintech, and AI-driven industries to position the economy for future technological advancements."
Thematic categorization,Non-oil exports growth,"Initiatives to increase international trade competitiveness, enhance export-oriented industries, and open new global market opportunities."
Thematic categorization,Regional development,"Balanced economic growth across different regions, reducing economic disparities between Al Ain & Al Dhafra and Abu Dhabi City through infrastructure projects, investment incentives, and targeted industrial development."
Thematic categorization,FDI growth,"Policies to attract foreign direct investment by offering incentives, improving regulatory frameworks, and enhancing investor confidence."
Thematic categorization,Incentive programs,"Government-led financial and non-financial incentives, such as tax breaks, grants, and subsidies, to encourage investment and business expansion."
Thematic categorization,Government revenue growth,"Measures to enhance fiscal sustainability by optimizing tax revenues, diversifying income sources, and improving financial management."
Thematic categorization,Government efficiency (spending),"Strategies to optimize public expenditure, reduce waste, and improve service delivery while maintaining fiscal discipline."
Thematic categorization,Ease of doing business,"Reforms aimed at simplifying business regulations, reducing bureaucratic hurdles, and enhancing the business environment to attract investment."
Thematic categorization,Cost of doing business,"Policies to lower operational costs for businesses, including reducing licensing fees, improving infrastructure, and enhancing energy efficiency."
Thematic categorization,(High) skilled workforce growth,"Investments in education, vocational training, and talent development to create a highly skilled workforce aligned with market needs."
Thematic categorization,Employment (job creation),"Job creation initiatives through entrepreneurship support, SME development, and labor market reforms to boost employment opportunities."
Thematic categorization,Emiratization level,"Policies to increase the participation of UAE nationals in the workforce through training programs, incentives, and hiring quotas."
Thematic categorization,Finance access improvement,"Enhancing access to capital for businesses and individuals through improved banking regulations, credit facilitation, and funding programs."
Thematic categorization,Innovation and R&D investment,"Promoting research, technological advancements, and innovation through government funding, private sector collaboration, and startup ecosystem support."
Thematic categorization,Mega infrastructure development,"Large-scale investments in transportation, energy, smart cities, and logistics to enhance economic growth and global competitiveness."
Thematic categorization,Cost of living,"Policies to regulate housing, utilities, and essential goods prices, ensuring affordability and maintaining a high quality of life."
